Colony,Fragment,Experiment
90,1-Oc,Not used
90,2-Oc,Not used
90,3-Oc,Bleaching2
90,4-Oc,Control-BuoyantWeight
90,5-Oc,Not used
90,6-Oc,Bleaching2
90,7-Oc,Control-BuoyantWeight
90,8-Oc,Not used
90,9-Oc,Not used
90,10-Oc,Bleaching2
90,11-Oc,Control-BuoyantWeight
90,12-Oc,Not used
90,13-Oc,Not used
90,14-Oc,Not used
90,15-Oc,Bleaching2
90,16-Oc,Not used
90,17-Oc,Not used
90,18-Oc,Bleaching2
90,19-Oc,Not used
90,20-Oc,Not used
90,21-Oc,Control-BuoyantWeight
90,22-Oc,Not used
90,23-Oc,Not used
90,24-Oc,Not used
90,25-Oc,Bleaching2
99,26-Oc,Not used
99,27-Oc,Not used
99,28-Oc,Not used
99,29-Oc,Not used
99,30-Oc,Not used
99,31-Oc,Not used
99,32-Oc,Bleaching2
99,33-Oc,Control-BuoyantWeight
99,34-Oc,Not used
99,35-Oc,Not used
99,36-Oc,Not used
99,37-Oc,Bleaching2
99,38-Oc,Not used
99,39-Oc,Not used
99,40-Oc,Bleaching2
99,41-Oc,Not used
99,42-Oc,Not used
86,43-Oc,Not used
86,44-Oc,Not used
86,45-Oc,Not used
86,46-Oc,Control-BuoyantWeight
86,47-Oc,Bleaching2
86,48-Oc,Bleaching2
86,49-Oc,Not used
86,50-Oc,Bleaching2
86,51-Oc,Bleaching2
86,52-Oc,Control-BuoyantWeight
82,53-Oc,Not used
82,54-Oc,Bleaching2
82,55-Oc,Not used
82,56-Oc,Bleaching2
82,57-Oc,Not used
78,58-Oc,Bleaching2
78,59-Oc,Control-BuoyantWeight
78,60-Oc,Not used
78,61-Oc,Bleaching2
78,62-Oc,Bleaching2
78,63-Oc,Not used
78,64-Oc,Bleaching2
78,65-Oc,Bleaching2
78,66-Oc,Not used
78,67-Oc,Not used
37,68-Oc,Bleaching2
37,69-Oc,Control-BuoyantWeight
37,70-Oc,Bleaching2
37,71-Oc,Not used
37,72-Oc,Bleaching2
41,73-Oc,Bleaching2
41,307-G,Bleaching2
41,74-Oc,Bleaching2
41,75-Oc,Not used
41,76-Oc,Not used
41,77-Oc,Not used
41,78-Oc,Bleaching2
41,79-Oc,Control-BuoyantWeight
41,80-Oc,Bleaching2
41,81-Oc,Control-BuoyantWeight
41,82-Oc,Not used
93,83-Oc,Not used
93,84-Oc,Not used
93,85-Oc,Not used
93,86-Oc,Control-BuoyantWeight
93,87-Oc,Bleaching2
91,88-Oc,Bleaching2
91,89-Oc,Control-BuoyantWeight
91,90-Oc,Control-BuoyantWeight
91,91-Oc,Bleaching2
91,92-Oc,Control-BuoyantWeight
91,93-Oc,Control-BuoyantWeight
91,94-Oc,Not used
91,95-Oc,Bleaching2
91,96-Oc,Bleaching2
83,97-Oc,Control-BuoyantWeight
83,98-Oc,Bleaching2
35,99-Oc,Bleaching2
35,100-Oc,Bleaching2
35,101-Oc,Not used
43,102-Oc,Not used
43,103-Oc,Bleaching2
43,104-Oc,Control-BuoyantWeight
43,105-Oc,Bleaching2
91,106-Oc,Bleaching2
91,107-Oc,Bleaching2
91,108-Oc,Bleaching2
79,109-Oc,Not used
79,110-Oc,Not used
79,111-Oc,Bleaching2
93,112-Oc,Control-BuoyantWeight
93,113-Oc,Bleaching2
32,184-Oc,Bleaching2
32,185-Oc,Bleaching2
32,186-Oc,Not used
88,187-Oc,Not used
88,188-Oc,Not used
88,189-Oc,Not used
30,191-Oc,Bleaching2
30,192-Oc,Bleaching2
30,193-Oc,Not used
30,194-Oc,Bleaching2
79,195-Oc,Not used
79,196-Oc,Not used
79,197-Oc,Not used
79,198-Oc,Not used
79,199-Oc,Not used
79,200-Oc,Not used
99,349-oc,Not used
86,383-oc,Not used
30,436-Oc,Bleaching2
86,438-oc,Not used
86,440-oc,Not used
93,109-R,Bleaching2
35,150-R,Not used
35,151-R,Not used
35,168-R,Not used
